repo_full_name,repo_url,repo_stars,repo_language,issues,median_ttc_days,avg_comments
KhronosGroup/Vulkan-ValidationLayers,https://github.com/KhronosGroup/Vulkan-ValidationLayers,924,C++,2,72.98975694444445,3.0
mindspore-lab/mindnlp,https://github.com/mindspore-lab/mindnlp,889,Jupyter Notebook,2,1.7641435185185186,1.0
swarm-game/swarm,https://github.com/swarm-game/swarm,885,Haskell,2,106.15085648148148,1.0
cataclysmbnteam/Cataclysm-BN,https://github.com/cataclysmbnteam/Cataclysm-BN,883,C++,2,23.39390046296296,1.0
PrunaAI/pruna,https://github.com/PrunaAI/pruna,862,Python,2,18.002887731481483,0.0
p4lang/p4c,https://github.com/p4lang/p4c,785,C++,2,2.5550636574074073,2.0
johnkary/phpunit-speedtrap,https://github.com/johnkary/phpunit-speedtrap,784,PHP,2,1808.874045138889,4.0
spacemeshos/go-spacemesh,https://github.com/spacemeshos/go-spacemesh,774,Go,2,131.14112847222222,0.0
astropy/astroquery,https://github.com/astropy/astroquery,747,Python,2,500.21843171296297,6.5
getkyo/kyo,https://github.com/getkyo/kyo,738,Scala,2,12.484542824074074,5.5
antiwork/flexile,https://github.com/antiwork/flexile,736,Ruby,2,4.065896990740741,8.5
Consensys/teku,https://github.com/Consensys/teku,729,Java,2,20.87711226851852,1.5
rapidsai/cuspatial,https://github.com/rapidsai/cuspatial,688,Cuda,2,26.066712962962963,2.5
iTwin/itwinjs-core,https://github.com/iTwin/itwinjs-core,684,TypeScript,2,32.10508680555556,1.0
xline-kv/Xline,https://github.com/xline-kv/Xline,679,Rust,2,32.417436342592595,2.0
PlasmaPy/PlasmaPy,https://github.com/PlasmaPy/PlasmaPy,631,Python,2,37.82697337962963,0.5
infinitest/infinitest,https://github.com/infinitest/infinitest,593,Java,2,1658.6965567129628,0.0
OpenRailAssociation/osrd,https://github.com/OpenRailAssociation/osrd,564,TypeScript,2,16.939797453703704,0.5
lambdaclass/ethrex,https://github.com/lambdaclass/ethrex,540,Rust,2,3.003252314814815,0.0
pyccel/pyccel,https://github.com/pyccel/pyccel,379,Python,2,3.5215972222222223,2.0
kiwix/kiwix-js,https://github.com/kiwix/kiwix-js,376,JavaScript,2,1.9015104166666668,1.0
Witiko/markdown,https://github.com/Witiko/markdown,358,TeX,2,110.13021412037038,3.0
hiero-ledger/hiero-consensus-node,https://github.com/hiero-ledger/hiero-consensus-node,352,Java,2,16.49570601851852,1.5
mercedes-benz/sechub,https://github.com/mercedes-benz/sechub,344,Java,2,14.125005787037038,0.0
status-im/status-desktop,https://github.com/status-im/status-desktop,336,QML,2,43.34263310185185,4.0
qiboteam/qibo,https://github.com/qiboteam/qibo,326,Python,2,121.89438078703704,3.5
SORMAS-Foundation/SORMAS-Project,https://github.com/SORMAS-Foundation/SORMAS-Project,315,Java,2,102.99589699074075,6.0
express-rate-limit/express-slow-down,https://github.com/express-rate-limit/express-slow-down,290,TypeScript,2,0.9091145833333333,4.5
Tribler/py-ipv8,https://github.com/Tribler/py-ipv8,250,Python,2,50.99534722222222,2.5
chainwayxyz/citrea,https://github.com/chainwayxyz/citrea,246,Rust,2,2.6575462962962964,1.0
gear-tech/gear,https://github.com/gear-tech/gear,244,Rust,2,22.711915509259256,1.0
spinalcordtoolbox/spinalcordtoolbox,https://github.com/spinalcordtoolbox/spinalcordtoolbox,240,Python,2,54.550046296296294,4.0
Comfy-Org/litegraph.js,https://github.com/Comfy-Org/litegraph.js,238,TypeScript,2,5.884467592592593,1.0
kroxylicious/kroxylicious,https://github.com/kroxylicious/kroxylicious,219,Java,2,9.02416087962963,0.0
xcube-dev/xcube,https://github.com/xcube-dev/xcube,219,Python,2,36.49563078703704,3.0
hplush/slowreader,https://github.com/hplush/slowreader,211,TypeScript,2,33.429907407407406,3.5
openlibhums/janeway,https://github.com/openlibhums/janeway,202,Python,2,425.47297453703703,0.0
OpenFreeEnergy/openfe,https://github.com/OpenFreeEnergy/openfe,197,Python,2,3.6775925925925925,0.5
Aiven-Open/klaw,https://github.com/Aiven-Open/klaw,179,Java,2,38.06969328703704,2.0
APSIMInitiative/ApsimX,https://github.com/APSIMInitiative/ApsimX,174,Jupyter Notebook,2,17.09511574074074,3.5
hiero-ledger/hiero-mirror-node,https://github.com/hiero-ledger/hiero-mirror-node,174,Java,2,18.123582175925925,0.0
rooch-network/rooch,https://github.com/rooch-network/rooch,172,Rust,2,12.504137731481482,3.0
Clinical-Genomics/scout,https://github.com/Clinical-Genomics/scout,169,HTML,2,22.84502314814815,0.0
